ID_client,id_branch,Channel,Client_name,Channel_id
141982,7.0,Outlets,client-120371,9.0
170514,2.0,Developers,client-179130,3.0
106155,1.0,Outlets,client-33399,9.0
241459,,Manufacturers NPK,client-65219,6.0
241244,8.0,Manufacturers NPK,client-128184,6.0
178149,6.0,Dealers,client-83223,2.0
101408,6.0,Dealers,client-31083,2.0
192981,19.0,Hardware,client-41837,4.0
141629,2.0,Dealers,client-203414,2.0
222703,8.0,Manufacturers Resins,client-179505,7.0
87303,,Trading Houses,client-174328,10.0
81715,2.0,Trading Houses,client-215685,10.0
168211,,Absent,client-147242,0.0
204601,,Dealers,client-191257,2.0
64643,,Developers,client-80960,3.0
223294,4.0,Dealers,client-197666,2.0
124892,,Wholesaler,client-34874,12.0
197667,,Manufacturers NPK,client-17394,6.0
144339,7.0,Dealers,client-18089,2.0
128114,3.0,Manufacturers Resins,client-94570,7.0
75525,2.0,Dealers,client-192528,2.0
128109,13.0,Dealers,client-174675,2.0
93285,22.0,Outlets,client-200753,9.0
241869,4.0,Hardware,client-82213,4.0
87678,7.0,Outlets,client-217994,9.0
139232,11.0,Dealers,client-148776,2.0
59573,3.0,Manufacturers Resins,client-22400,7.0
59728,5.0,Hardware,client-16496,4.0
136045,,Outlets,client-121319,9.0
238515,2.0,Manufacturers NH3,client-192237,5.0
137767,9.0,Dealers,client-132309,2.0
213581,13.0,Dealers,client-5153,2.0
128207,9.0,Dealers,client-129113,2.0
131554,1.0,Outlets,client-50210,9.0
163833,13.0,Outlets,client-198462,9.0
199856,9.0,Trading Houses,client-138433,10.0
207370,9.0,Dealers,client-130031,2.0
199028,7.0,Dealers,client-2158,2.0
159941,8.0,Manufacturers NPK,client-208117,6.0
180662,,Absent,client-25786,0.0
205698,,Hardware,client-162856,4.0
171531,,Absent,client-148761,0.0
187256,0.0,Absent,client-149025,0.0
123682,3.0,Developers,client-130795,3.0
68187,8.0,Developers,client-77291,3.0
138611,2.0,Wholesaler,client-202789,12.0
70107,4.0,Outlets,client-116367,9.0
136447,4.0,Trading Houses,client-10387,10.0
128617,,Outlets,client-21456,9.0
241848,3.0,Manufacturers NPK,client-198770,6.0
120553,,Outlets,client-29749,9.0
215001,14.0,Manufacturers Resins,client-218118,7.0
94030,14.0,Dealers,client-63969,2.0
54564,4.0,Absent,client-169816,0.0
152119,,Dealers,client-20620,2.0
52917,5.0,Dealers,client-100402,2.0
109373,6.0,Developers,client-194872,3.0
136231,,Absent,client-216633,0.0
55913,8.0,Manufacturers Resins,client-4137,7.0
227725,8.0,Manufacturers Resins,client-61061,7.0
226175,,Absent,client-177420,0.0
113317,8.0,Absent,client-120354,0.0
143093,,Dealers,client-45074,2.0
228794,13.0,Dealers,client-190582,2.0
168276,2.0,Hardware,client-27930,4.0
120802,,Absent,client-3917,0.0
112059,,Outlets,client-49506,9.0
223475,,Absent,client-184285,0.0
225600,,Developers,client-186276,3.0
61280,13.0,Outlets,client-110260,9.0
217947,23.0,Manufacturers Resins,client-111555,7.0
213800,1.0,Outlets,client-120225,9.0
58892,4.0,Dealers,client-126539,2.0
179341,8.0,Wholesaler,client-60311,12.0
221254,,Dealers,client-2362,2.0
179816,2.0,Outlets,client-91245,9.0
106654,6.0,Dealers,client-101608,2.0
175641,,Dealers,client-63858,2.0
164983,3.0,Dealers,client-183991,2.0
101336,,Hardware,client-75681,4.0
110762,8.0,Manufacturers NPK,client-59489,6.0
213173,8.0,Manufacturers Resins,client-4208,7.0
153537,5.0,Outlets,client-152451,9.0
156124,6.0,Dealers,client-29962,2.0
209664,,Absent,client-149886,0.0
187500,15.0,Developers,client-155873,3.0
197320,,Web Site,client-121203,11.0
122917,6.0,Dealers,client-58763,2.0
65091,2.0,Absent,client-119305,0.0
63563,12.0,Dealers,client-71425,2.0
89399,,Absent,client-215661,0.0
236708,,Absent,client-112165,0.0
186423,0.0,Trading Houses,client-169909,10.0
249032,1.0,Trading Houses,client-6366,10.0
170058,0.0,Absent,client-203052,0.0
103018,7.0,Outlets,client-103532,9.0
117100,19.0,Dealers,client-41443,2.0
87194,0.0,Absent,client-37183,0.0
115752,,Wholesaler,client-205164,12.0
217976,6.0,Developers,client-161012,3.0
94444,1.0,Outlets,client-200803,9.0
79057,,Trading Houses,client-180796,10.0
92247,9.0,Trading Houses,client-209906,10.0
68668,20.0,Trading Houses,client-28101,10.0
105993,1.0,Trading Houses,client-134699,10.0
230174,1.0,Hardware,client-206044,4.0
235762,,Dealers,client-188577,2.0
223750,5.0,Hardware,client-51599,4.0
198280,12.0,Dealers,client-82443,2.0
205960,13.0,Dealers,client-41054,2.0
59408,8.0,Manufacturers Resins,client-182913,7.0
194997,,Manufacturers Resins,client-120385,7.0
60388,8.0,Manufacturers NPK,client-102946,6.0
64172,8.0,Manufacturers Resins,client-92789,7.0
125674,0.0,Absent,client-34913,0.0
193147,,Absent,client-35377,0.0
130849,,Outlets,client-20332,9.0
236105,0.0,Absent,client-24546,0.0
123721,5.0,Absent,client-46401,0.0
52067,,Absent,client-103443,0.0
153031,,Dealers,client-44223,2.0
162565,7.0,Dealers,client-187106,2.0
67179,19.0,Trading Houses,client-83151,10.0
75120,6.0,Trading Houses,client-64490,10.0
112477,12.0,Trading Houses,client-97680,10.0
191833,,Outlets,client-12887,9.0
188298,0.0,Absent,client-74836,0.0
141137,1.0,Dealers,client-121576,2.0
148933,20.0,Outlets,client-59696,9.0
88960,,Outlets,client-142552,9.0
62249,,Absent,client-99187,0.0
165973,12.0,Outlets,client-8977,9.0
94887,8.0,Manufacturers NPK,client-116019,6.0
213146,12.0,Trading Houses,client-5228,10.0
131818,8.0,Developers,client-120780,3.0
90370,6.0,Trading Houses,client-151867,10.0
205306,9.0,Trading Houses,client-115408,10.0
51167,20.0,Manufacturers Resins,client-45533,7.0
231746,17.0,Absent,client-27882,0.0
209395,3.0,Manufacturers NPK,client-2455,6.0
113161,19.0,Dealers,client-100925,2.0
99082,6.0,Manufacturers Resins,client-117782,7.0
145940,0.0,DIY,client-81037,1.0
119837,4.0,Dealers,client-107987,2.0
138953,13.0,Outlets,client-116584,9.0
129236,18.0,Hardware,client-121781,4.0
102494,0.0,Absent,client-160662,0.0
230318,,Manufacturers NH3,client-172161,5.0
150969,5.0,Outlets,client-101091,9.0
232386,,Dealers,client-56222,2.0
239372,1.0,Manufacturers NPK,client-219603,6.0
241886,,Outlets,client-110518,9.0
141322,9.0,Dealers,client-113571,2.0
117348,,Absent,client-5438,0.0
195767,9.0,Dealers,client-203825,2.0
125318,,Dealers,client-65097,2.0
206839,9.0,Outlets,client-119370,9.0
228055,9.0,Trading Houses,client-98116,10.0
178280,6.0,Manufacturers NH3,client-27204,5.0
208751,12.0,Outlets,client-220106,9.0
56753,13.0,Hardware,client-26403,4.0
154696,4.0,Dealers,client-144800,2.0
197334,19.0,Outlets,client-84774,9.0
54432,7.0,Manufacturers NH3,client-119084,5.0
124901,,Outlets,client-116922,9.0
92345,5.0,Trading Houses,client-192584,10.0
177334,23.0,Dealers,client-43501,2.0
136586,8.0,Manufacturers NPK,client-25403,6.0
152711,3.0,Manufacturers NPK,client-24509,6.0
231022,9.0,Hardware,client-144586,4.0
152513,2.0,Hardware,client-175202,4.0
89848,,Dealers,client-28,2.0
120149,3.0,Dealers,client-221929,2.0
174436,4.0,Dealers,client-205384,2.0
181466,0.0,Absent,client-75914,0.0
198987,4.0,Dealers,client-18053,2.0
185096,,Dealers,client-219791,2.0
182359,1.0,Dealers,client-66791,2.0
55874,8.0,Manufacturers NH3,client-203197,5.0
168936,,Absent,client-150425,0.0
133522,1.0,Manufacturers Resins,client-84157,7.0
181111,15.0,Developers,client-136686,3.0
165776,,Absent,client-75075,0.0
154193,2.0,Manufacturers NPK,client-214220,6.0
179150,,Absent,client-20421,0.0
98658,2.0,Manufacturers NH3,client-86113,5.0
207118,2.0,Absent,client-95945,0.0
128608,1.0,Dealers,client-59142,2.0
230927,15.0,Manufacturers Resins,client-190258,7.0
175557,6.0,Trading Houses,client-158035,10.0
84151,1.0,Dealers,client-98133,2.0
211312,18.0,Dealers,client-161625,2.0
205492,1.0,Dealers,client-186716,2.0
195713,2.0,Dealers,client-96619,2.0
177015,0.0,Absent,client-78411,0.0
73268,11.0,Wholesaler,client-158205,12.0
124224,,Dealers,client-36951,2.0
104911,19.0,Dealers,client-73161,2.0
97945,,Trading Houses,client-128026,10.0
194833,0.0,Absent,client-44688,0.0
153437,7.0,Outlets,client-81651,9.0
157237,2.0,Dealers,client-5660,2.0
137308,18.0,Developers,client-64117,3.0
157575,,Absent,client-115842,0.0
54689,4.0,Outlets,client-164542,9.0
51911,5.0,Dealers,client-89294,2.0
162106,5.0,Manufacturers Resins,client-23300,7.0
205376,,Absent,client-10417,0.0
213891,9.0,Wholesaler,client-65772,12.0
190521,11.0,Absent,client-23958,0.0
80109,,Dealers,client-34212,2.0
177056,3.0,Dealers,client-195307,2.0
74507,0.0,Absent,client-122607,0.0
128865,,Absent,client-92096,0.0
191562,1.0,Outlets,client-89058,9.0
166865,12.0,Dealers,client-203638,2.0
188509,3.0,Dealers,client-71591,2.0
219320,4.0,Absent,client-86545,0.0
191523,,Absent,client-124112,0.0
54404,8.0,Manufacturers Resins,client-217394,7.0
176672,0.0,Absent,client-39356,0.0
246829,2.0,Trading Houses,client-106309,10.0
199808,5.0,Trading Houses,client-105924,10.0
225665,,Absent,client-194983,0.0
75873,17.0,Dealers,client-9657,2.0
168715,0.0,Absent,client-88668,0.0
229463,1.0,Outlets,client-174383,9.0
110856,,Absent,client-156392,0.0
234498,,Dealers,client-83586,2.0
121337,,Absent,client-82210,0.0
94077,4.0,Developers,client-89129,3.0
91185,13.0,Dealers,client-48813,2.0
212997,20.0,Dealers,client-101361,2.0
231563,22.0,Outlets,client-27888,9.0
120438,5.0,Hardware,client-171608,4.0
230866,0.0,Absent,client-36941,0.0
52660,0.0,Absent,client-189019,0.0
249575,1.0,Outlets,client-86621,9.0
160134,5.0,Manufacturers Resins,client-188274,7.0
196846,2.0,Outlets,client-47840,9.0
96542,7.0,Outlets,client-221106,9.0
201378,9.0,Hardware,client-67164,4.0
196621,4.0,Dealers,client-59053,2.0
209330,6.0,Hardware,client-65392,4.0
127243,,Absent,client-52643,0.0
91193,7.0,Dealers,client-69031,2.0
78422,7.0,Dealers,client-108804,2.0
84715,1.0,Hardware,client-159734,4.0
150683,3.0,Manufacturers Resins,client-211342,7.0
221824,6.0,Dealers,client-128402,2.0
52771,7.0,Manufacturers Resins,client-169648,7.0
200487,12.0,Wholesaler,client-44378,12.0
104937,7.0,Developers,client-61229,3.0
183972,4.0,Outlets,client-82184,9.0
162834,13.0,Dealers,client-123248,2.0
