,ID_product,Article,Brand,Product_group,Mark,Manager_Marketing,Manager_Supply,ABC_XYZ,Brand_id,Manager_id,Product_group_id,Mark_id
0,149628,LR-9844,Ruberoid,Lobster Eyes,regular,Pete the Scab,Dr. Valentine Pilman,CZ,6,2.0,8,2
1,194117,LT-4706,Turboshark,Lobster Eyes,special,Pete the Scab,Dr. Valentine Pilman,CZ,8,2.0,8,3
2,43994,LW-944641,Warhog,Lobster Eyes,obsolete,Pete the Scab,Captain Herzog,CZ,9,2.0,8,1
3,166442,LW-622505,Warhog,Lobster Eyes,obsolete,Pete the Scab,Captain Herzog,CZ,9,2.0,8,1
4,79038,IW-08217,Warhog,Itchers,obsolete,Pete the Scab,Captain Herzog,CZ,9,2.0,7,1
5,66637,IW-6707,Warhog,Itchers,obsolete,Pete the Scab,Captain Herzog,CZ,9,2.0,7,1
6,25704,IW-7425,Warhog,Itchers,obsolete,Pete the Scab,Captain Herzog,CZ,9,2.0,7,1
7,139878,DF-9831,Fossa,Death Lamps,special,Pete the Scab,Dr. Kirill Panov,CZ,1,2.0,5,3
8,21220,IW-202132,Warhog,Itchers,special,Pete the Scab,Captain Herzog,CZ,9,2.0,7,3
9,149313,DW-9378,Warhog,Death Lamps,special,Pete the Scab,Captain Herzog,CY,9,2.0,5,3
10,151866,DW-16888,Warhog,Death Lamps,regular,Pete the Scab,Captain Herzog,BX,9,2.0,5,2
11,69506,IW-56854,Warhog,Itchers,special,Pete the Scab,Captain Herzog,CZ,9,2.0,7,3
12,158948,BW-880131,Warhog,Black Sprays,regular,Pete the Scab,Captain Herzog,CX,9,2.0,2,2
13,127253,IW-73477,Warhog,Itchers,regular,Pete the Scab,Captain Herzog,BX,9,2.0,7,2
14,65903,IW-932217,Warhog,Itchers,regular,Pete the Scab,Captain Herzog,BY,9,2.0,7,2
15,38986,DF-9623,Fossa,Death Lamps,regular,Pete the Scab,Dr. Kirill Panov,CY,1,2.0,5,2
16,144531,DW-41535,Warhog,Death Lamps,obsolete,Pete the Scab,Captain Herzog,CX,9,2.0,5,1
17,34876,IW-8603,Warhog,Itchers,special,Pete the Scab,Captain Herzog,CZ,9,2.0,7,3
18,15360,IW-3055,Warhog,Itchers,regular,Pete the Scab,Captain Herzog,CY,9,2.0,7,2
19,83053,DW-0381,Warhog,Death Lamps,regular,Pete the Scab,Captain Herzog,BY,9,2.0,5,2
20,1215,IW-156285,Warhog,Itchers,special,Pete the Scab,Captain Herzog,CY,9,2.0,7,3
21,140464,IW-048508,Warhog,Itchers,obsolete,Pete the Scab,Captain Herzog,CZ,9,2.0,7,1
22,54568,IW-58706,Warhog,Itchers,special,Pete the Scab,Captain Herzog,CX,9,2.0,7,3
23,11850,DW-802016,Warhog,Death Lamps,special,Pete the Scab,Captain Herzog,BY,9,2.0,5,3
24,84938,DW-9886,Warhog,Death Lamps,regular,Pete the Scab,Captain Herzog,AX,9,2.0,5,2
25,90056,IW-06332,Warhog,Itchers,obsolete,Pete the Scab,Captain Herzog,CZ,9,2.0,7,1
26,150428,DW-08606,Warhog,Death Lamps,regular,Pete the Scab,Captain Herzog,CX,9,2.0,5,2
27,112472,IW-2270,Warhog,Itchers,obsolete,Pete the Scab,Captain Herzog,CZ,9,2.0,7,1
28,76783,IW-7301,Warhog,Itchers,special,Pete the Scab,Captain Herzog,CZ,9,2.0,7,3
29,102492,DF-221345,Fossa,Death Lamps,regular,Pete the Scab,Dr. Kirill Panov,CY,1,2.0,5,2
30,157084,EB-74651,Bandit,Empties,special,Pete the Scab,Dr. Valentine Pilman,CZ,0,2.0,6,3
31,30149,DR-1945,Ruberoid,Death Lamps,regular,Pete the Scab,Dr. Valentine Pilman,CY,6,2.0,5,2
32,105267,IW-5775,Warhog,Itchers,obsolete,Pete the Scab,Captain Herzog,CZ,9,2.0,7,1
33,116521,DW-612635,Warhog,Death Lamps,special,Pete the Scab,Captain Herzog,CY,9,2.0,5,3
34,96025,BW-0588,Warhog,Black Sprays,regular,Pete the Scab,Captain Herzog,CY,9,2.0,2,2
35,131491,DF-1101,Fossa,Death Lamps,regular,Pete the Scab,Dr. Kirill Panov,CZ,1,2.0,5,2
36,46054,DW-04644,Warhog,Death Lamps,regular,Pete the Scab,Captain Herzog,BY,9,2.0,5,2
37,6172,IW-72535,Warhog,Itchers,special,Pete the Scab,Captain Herzog,CX,9,2.0,7,3
38,184114,DR-44154,Ruberoid,Death Lamps,regular,Pete the Scab,Dr. Valentine Pilman,AX,6,2.0,5,2
39,158343,IW-83358,Warhog,Itchers,regular,Pete the Scab,Captain Herzog,CX,9,2.0,7,2
40,71174,DW-14856,Warhog,Death Lamps,special,Pete the Scab,Captain Herzog,BZ,9,2.0,5,3
41,153837,DW-37528,Warhog,Death Lamps,regular,Pete the Scab,Captain Herzog,BX,9,2.0,5,2
42,50976,IW-9622,Warhog,Itchers,regular,Pete the Scab,Captain Herzog,CX,9,2.0,7,2
43,169143,IW-930307,Warhog,Itchers,regular,Pete the Scab,Captain Herzog,BX,9,2.0,7,2
